Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_V,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_V,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_V,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_V,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_V,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_V,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_V,M8_a,M8_r,M8_ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Acatlán,5.0,5.0,7.0,0.0,0.0,0.0,7.0,3.0,6.0,0.0,3.0,0.0,3.0,2.0,11.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,18.0,22.0,58.0,0.0,17.0,0.0
Acaxochitlán,10.0,3.0,4.0,0.0,0.0,0.0,10.0,4.0,5.0,0.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,32.0,35.0,48.0,0.0,0.0,0.0
Actopan,7.0,7.0,3.0,0.0,0.0,0.0,9.0,2.0,6.0,2.0,0.0,0.0,2.0,3.0,5.0,7.0,0.0,0.0,8.0,7.0,2.0,1.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,34.0,31.0,39.0,10.0,1.0,0.0
Agua Blanca de Iturbide,1.0,2.0,14.0,0.0,0.0,0.0,10.0,1.0,6.0,2.0,0.0,0.0,2.0,3.0,11.0,0.0,1.0,0.0,1.0,5.0,4.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,23.0,13.0,65.0,2.0,12.0,0.0
Ajacuba,2.0,7.0,8.0,0.0,0.0,0.0,8.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,12.0,3.0,1.0,0.0,1.0,6.0,4.0,0.0,7.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,21.0,29.0,49.0,5.0,11.0,0.0
Alfajayucan,5.0,2.0,10.0,0.0,0.0,0.0,3.0,2.0,9.0,2.0,3.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,12.0,25.0,59.0,2.0,17.0,0.0
Almoloya,13.0,2.0,2.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,9.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,70.0,33.0,11.0,0.0,1.0,0.0
Apan,4.0,2.0,11.0,0.0,0.0,0.0,11.0,3.0,2.0,3.0,0.0,0.0,2.0,5.0,2.0,7.0,1.0,0.0,2.0,7.0,1.0,2.0,6.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,8.0,7.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,31.0,28.0,36.0,13.0,7.0,0.0
Atitalaquia,2.0,8.0,7.0,0.0,0.0,0.0,12.0,2.0,3.0,2.0,0.0,0.0,3.0,6.0,7.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,10.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,28.0,37.0,34.0,2.0,14.0,0.0
Atlapexco,12.0,0.0,5.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,0.0,0.0,4.0,1.0,4.0,7.0,1.0,0.0,2.0,3.0,3.0,0.0,10.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,1.0,6.0,9.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,40.0,16.0,38.0,7.0,14.0,0.0
